year,Amazon,Google
2005,39.90,139.31
2006,35.91,206.23
2007,67.23,270.21
2008,69.88,233.15
2009,87.28,220.52
2010,139.14,268.64
2011,196.67,285.37
2012,220.30,322.40
2013,298.03,443.49
2014,332.55,568.43
2015,478.14,619.98
2016,699.52,763.21
2017,968.17,939.77
2018,1641.73,1122.04
2019 (as of May 21),1742.07,1157.05
